Matricula,MesAno,DataInicial,Horario,Phtd
09815703,202411,20241101,080000,HXGU
09815703,202411,20241101,114500,HXGU
09815703,202411,20241101,124500,HXGU
09815703,202411,20241101,170000,HXGU
09815703,202411,20241102,,LIVR
09815703,202411,20241103,,LIVR
09815703,202411,20241104,080000,HXGU
09815703,202411,20241104,114500,HXGU
09815703,202411,20241104,124500,HXGU
09815703,202411,20241104,170000,HXGU
09815703,202411,20241105,080000,HXGU
09815703,202411,20241105,114500,HXGU
09815703,202411,20241105,124500,HXGU
09815703,202411,20241105,170000,HXGU
09815703,202411,20241106,080000,HXGU
09815703,202411,20241106,114500,HXGU
09815703,202411,20241106,124500,HXGU
09815703,202411,20241106,170000,HXGU
09815703,202411,20241107,080000,HXGU
09815703,202411,20241107,114500,HXGU
09815703,202411,20241107,124500,HXGU
09815703,202411,20241107,170000,HXGU
09815703,202411,20241108,080000,HXGU
09815703,202411,20241108,114500,HXGU
09815703,202411,20241108,124500,HXGU
09815703,202411,20241108,170000,HXGU
09815703,202411,20241109,,LIVR
09815703,202411,20241110,,LIVR
09815703,202411,20241111,080000,HXGU
09815703,202411,20241111,114500,HXGU
09815703,202411,20241111,124500,HXGU
09815703,202411,20241111,170000,HXGU
09815703,202411,20241112,080000,HXGU
09815703,202411,20241112,114500,HXGU
09815703,202411,20241112,124500,HXGU
09815703,202411,20241112,170000,HXGU
09815703,202411,20241113,080000,HXGU
09815703,202411,20241113,114500,HXGU
09815703,202411,20241113,124500,HXGU
09815703,202411,20241113,170000,HXGU
09815703,202411,20241114,080000,HXGU
09815703,202411,20241114,114500,HXGU
09815703,202411,20241114,124500,HXGU
09815703,202411,20241114,170000,HXGU
09815703,202411,20241115,,HXGU
09815703,202411,20241116,,LIVR
09815703,202411,20241117,,LIVR
09815703,202411,20241118,080000,HXGU
09815703,202411,20241118,114500,HXGU
09815703,202411,20241118,124500,HXGU
09815703,202411,20241118,170000,HXGU
09815703,202411,20241119,080000,HXGU
09815703,202411,20241119,114500,HXGU
09815703,202411,20241119,124500,HXGU
09815703,202411,20241119,170000,HXGU
09815703,202411,20241120,,HXGU
09815703,202411,20241121,080000,HXGU
09815703,202411,20241121,114500,HXGU
09815703,202411,20241121,124500,HXGU
09815703,202411,20241121,170000,HXGU
09815703,202411,20241122,080000,HXGU
09815703,202411,20241122,114500,HXGU
09815703,202411,20241122,124500,HXGU
09815703,202411,20241122,170000,HXGU
09815703,202411,20241123,,LIVR
09815703,202411,20241124,,LIVR
09815703,202411,20241125,080000,HXGU
09815703,202411,20241125,114500,HXGU
09815703,202411,20241125,124500,HXGU
09815703,202411,20241125,170000,HXGU
09815703,202411,20241126,080000,HXGU
09815703,202411,20241126,114500,HXGU
09815703,202411,20241126,124500,HXGU
09815703,202411,20241126,170000,HXGU
09815703,202411,20241127,080000,HXGU
09815703,202411,20241127,114500,HXGU
09815703,202411,20241127,124500,HXGU
09815703,202411,20241127,170000,HXGU
09815703,202411,20241128,080000,HXGU
09815703,202411,20241128,114500,HXGU
09815703,202411,20241128,124500,HXGU
09815703,202411,20241128,170000,HXGU
09815703,202411,20241129,080000,HXGU
09815703,202411,20241129,114500,HXGU
09815703,202411,20241129,124500,HXGU
09815703,202411,20241129,170000,HXGU
09815703,202411,20241130,,LIVR